Column1,SRC_LOB_CORP_ID,SRC_LOB_DESC,Count(*)
81,10,Line of Business-U3P          ,133
82,10,Social Media-Internal         ,3
83,10,LOB - Wells Priority Unit                                                       ,4
84,10,Internal                      ,315
85,10,Consumer                                                                                            ,2
86,10,LOB-Other,360
87,10,LOB - Debra Rossi's Directs                                                     ,7
88,10,LOB - Customer Correspondence EO                                                ,30
89,10,LOB - Walnut Creek Office                                                       ,2
90,10,LOB - Social Media                                                              ,4
91,10,Other                                                                                               ,375
92,11,Board of Directors                                                              ,5163
93,11,Exec - Board of Directors                                                       ,538
94,12,Dick Kovacevich               ,2
95,12,Office of the President                                                                             ,1
96,12,Exec - CEO                                                                      ,432
97,12,Office of the President WFC                                                                         ,174
98,12,CEO                                                                             ,3997
99,12,John Stumpf                   ,446
100,12,Presidential                  ,16059
101,13,Avid Modjtabai                ,20
102,13,Danny Ludeman                                                                                       ,54
103,13,Management/ Operating Committee                                                 ,650
104,13,Executive Escalation                                                                                ,23
105,13,Management/Operating Committee                                                                      ,16
106,13,James Strothers               ,9
107,13,Exec - Mgmt/Operating Committee                                                 ,142
108,14,Franklin Codel                ,9
109,14,Executive Office                                                                                                                                                                                                                                               ,14
110,14,Exec - Other Business Managers                                                  ,13
111,14,Mike Heid                     ,186
112,14,WFHM OOP                                                                                            ,1
113,14,Greg Gwizdz                   ,2
114,14,Michael DeVito                ,12
115,14,Leesa Whitt-Potter            ,27
116,14,Collections Loss Mitigation                                                                         ,2
117,14,Other Business Managers defined by business                                                         ,68
118,14,Mary Coffin                   ,23
119,15,Exec - Media                                                                    ,58
120,15,Media                         ,154
121,16,Agency - Attorney General (AG)                                                  ,170
122,16,Attorney General              ,1767
123,16,Attorney General (AG)                                                           ,484
124,17,BBB                                                                             ,3884
125,17,Agency - Better Business Bureau (BBB)                                           ,116
126,17,Agency - BBB                                                                    ,550
127,18,Congress                      ,1150
128,18,Congressional Office                                                            ,33
129,18,Agency - Congressional Office                                                   ,9
130,19,CFPB                          ,4381
131,19,Consumer Financial Protection Bureau (CFPB)                                     ,4414
132,19,Agency - CFPB                                                                   ,1162
133,20,Agency - Dept of Education                                                      ,4
134,21,Agency - Dept of Insurance                                                      ,8
135,22,Agency - Dept of Justice                                                        ,1
136,25,FINRA                                                                                               ,64
137,29,OCC                           ,4076
138,29,Office of the Comptroller of the Currency                                                           ,19
139,29,Agency - OCC                                                                    ,300
140,30,SEC                                                                                                 ,64
141,31,State Regulator                                                                                     ,20
142,31,State Banking / Regulatory Agency                                               ,4
143,31,Agency - State Banking/Regulatory                                               ,1
144,31,MHA Help                      ,56
145,31,CA Monitor                    ,18
146,32,Other Agencies/Other Regulatory ,3
147,32,Regulatory                    ,1550
148,32,Agency                                                                                                                                                                                                                                                         ,1
149,32,Government Relations          ,18
150,32,HUD Inquiry                   ,140
151,32,Hud                           ,18
152,32,HAMP Support Center           ,30
153,32,Agency - Other Agencies                                                         ,59
154,32,OMSO                          ,3
155,32,Other Regulatory Agency                                                                             ,1
156,32,NYSE                                                                                                ,1
157,32,Other Agencies / Other Regulatory                                               ,253
