Column1,PRIM_CMPLNT_RSN_LOB_CORP_ID,PRIM_CMPLNT_RSN_LOB_DESC,Count(*)
171,31,Credit Line Increase/Decrease,5
172,31,Credit Limit Decrease                                                           ,12
173,32,Deceased Customer                                                               ,92
174,32,Reverse Mortgage | Foreclosure | Deceased Borrower                                                                                                                                                                                                             ,18
175,33,Default | Property Preservation | Fee Assessment                                                                                                                                                                                                               ,30
176,33,Default | Reporting | Timeliness of Resolution                                                                                                                                                                                                                 ,13
177,33,Default | Foreclosure | Fee Assessment                                                                                                                                                                                                                         ,176
178,33,Default | Reporting | Financial Liability                                                                                                                                                                                                                      ,117
179,33,Reverse Mortgage | Foreclosure | Foreclosure Process                                                                                                                                                                                                           ,14
180,33,Default | REO | Closing Issue                                                                                                                                                                                                                                  ,14
181,33,Default | Reporting | Loss Mitigation Credit Disputes                                                                                                                                                                                                          ,649
182,33,Default | Property Preservation | Property Preservation                                                                                                                                                                                                        ,596
183,33,Default | Reporting | Courtesy Correction                                                                                                                                                                                                                      ,601
184,33,Default | Reporting | Foreclosure Referral Notation                                                                                                                                                                                                            ,186
185,33,Default | Foreclosure | Reinstatement/Redemption                                                                                                                                                                                                               ,811
186,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Mechanics Liens                                                                                                                                                                          ,7
187,33,Reverse Mortgage | Collections / Home Preservation / SPOC | Property Preservation                                                                                                                                                                              ,12
188,33,Default | Property Preservation | Property Maintenance                                                                                                                                                                                                         ,286
189,33,Default | REO | Eviction Issue                                                                                                                                                                                                                                 ,55
190,33,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Condo / HOA Delinquencies                                                                                                                                                            ,35
191,33,Reverse Mortgage | Foreclosure | Delinquent Taxes and/or Insurance                                                                                                                                                                                             ,4
192,33,Collections Loss Mitigation                                                                                                                                                                             ,2
193,33,Default | Reporting | Mixed / Merged File                                                                                                                                                                                                                      ,55
194,33,Default | Reporting | Miscellaneous                                                                                                                                                                                                                            ,52
195,33,Default | REO | Property Preservation                                                                                                                                                                                                                          ,29
196,33,Default | Foreclosure | Bullet Point Letters                                                                                                                                                                                                                   ,328
197,33,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Co-op Issues                                                                                                                                                                         ,1
198,33,Default | REO | Listing Issue                                                                                                                                                                                                                                  ,10
199,33,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Miscellaneous                                                                                                                                                                        ,25
200,33,Default | REO | Billing Issues                                                                                                                                                                                                                                 ,20
201,33,Default | Reporting | Tradeline Issue                                                                                                                                                                                                                          ,3174
202,33,Default | Reporting | Administrative                                                                                                                                                                                                                           ,512
203,33,Default | Foreclosure | Deficiency Judgment                                                                                                                                                                                                                    ,93
204,33,Reverse Mortgage | Foreclosure | Reinstatement / Payoff Quotes                                                                                                                                                                                                 ,4
205,33,Repossession                                                                    ,168
206,33,Default | REO | Third Party                                                                                                                                                                                                                                    ,43
207,33,Default | Foreclosure | Clear Title/Assignment Chain                                                                                                                                                                                                           ,155
208,33,Default | Foreclosure | Notification                                                                                                                                                                                                                           ,1123
209,33,Default | Reporting | Repayment Plan                                                                                                                                                                                                                           ,88
210,33,Default | REO | Miscellaneous                                                                                                                                                                                                                                  ,27
211,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Miscellaneous                                                                                                                                                                            ,59
212,33,Default | Reporting | Bankruptcy                                                                                                                                                                                                                               ,374
213,33,Reverse Mortgage | Collections / Home Preservation / SPOC | Other                                                                                                                                                                                              ,1
214,33,Default | Property Preservation | Property Inspection                                                                                                                                                                                                          ,194
215,33,Default | Foreclosure | Other                                                                                                                                                                                                                                  ,743
216,33,Reverse Mortgage | Foreclosure | Non-Occupancy                                                                                                                                                                                                                 ,7
217,33,Reverse Mortgage | Foreclosure | Fees                                                                                                                                                                                                                          ,1
218,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Condo / HOA Delinquencies                                                                                                                                                                ,43
219,33,Default | Reporting | SCRA (Service Members Civil Relief Act) or Soldiers and Sailors                                                                                                                                                                          ,5
220,33,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Mechanics Liens                                                                                                                                                                      ,9
221,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Litigation Fees                                                                                                                                                                          ,3
222,33,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Litigation Fees                                                                                                                                                                      ,4
223,33,Default | Property Preservation | Miscellaneous                                                                                                                                                                                                                ,30
224,33,Reverse Mortgage | Foreclosure | Notification                                                                                                                                                                                                                  ,1
225,33,Reverse Mortgage | Bankruptcy | Filing                                                                                                                                                                                                                         ,1
226,33,Default | Reporting | Soft Inquiry                                                                                                                                                                                                                             ,28
227,33,Reverse Mortgage | Foreclosure | Other                                                                                                                                                                                                                         ,3
228,33,Default | Foreclosure | Abandonment                                                                                                                                                                                                                            ,87
229,33,Default | Reporting | Dispute Reporting                                                                                                                                                                                                                        ,4162
230,33,Default/foreclosure                                                             ,5
231,33,Default | Collections | Account Freeze                                                                                                                                                                                                                         ,32
232,34,Delinquent Account,1
233,35,Deposit - Missing                                                               ,104
234,35,Funding                                                                         ,3
235,36,Discrimination                                                                  ,1
236,36,Reg B - Discrimination                                                                              ,1
237,36,Discrimination Allegation,50
238,37,Misrepresentation                                 ,269
239,37,Dispute (Merchant)                                                              ,309
240,37,Loss Disputes                                                                   ,3
241,37,Dispute (ATM Withdrawal)                                                        ,118
242,37,Dispute (Card Fraud)                                                            ,520
243,37,Bill Pay Disputes/Claims                                                        ,7
244,37,Disputes                                                                                            ,716
245,37,Disputes - Stop Payment                                                         ,4
246,37,Dispute (ATM Deposit)                                                           ,177
247,37,(WS) No Failure Verified                                                        ,1
248,37,Customer Contact | General Inquiry | Posse / Validation of Debt Letter                                                                                                                                                                                         ,3973
249,37,Chargebacks                                                                     ,11
250,38,DistributionKits-Research                                                                                                                                                                               ,1
251,38,Distribution                                                                    ,47
252,38,Money-Out Transaction                                                                                                                                                                                   ,10
253,38,Distributions-Research                                                                                                                                                                                  ,4
254,38,Distributions-Interaction                                                                                                                                                                               ,4
255,38,Receipt and/or Disbursement of Funds              ,1614
256,39,Dividend or Interest                              ,25
257,40,Documentation                                     ,3
258,40,Documentation Not Received                                                                                                                                                                              ,16
259,40,Default | Deed in Lieu | Title Clearing / Subordination                                                                                                                                                                                                        ,23
260,41,Excessive Trading                                 ,31
261,42,Exchange Rate,5
262,43,Failure to Follow Instructions                    ,124
263,43,Incorrect Information Given                                                     ,31
264,43,Misinformation                                                                  ,35
265,44,Failure to Supervise,4
266,45,Reverse Mortgage | Escrow / Set-Aside | Other                                                                                                                                                                                                                  ,1
267,45,Disability - Special Accommodations                                             ,1
268,45,Aid - Other                                                                                         ,8
269,45,ADA - Disability                                                                ,1
270,45,Deferment                                                                       ,36
271,45,Braille ATM/Check Card                                                                              ,2
272,45,Talking ATM Earphone                                                                                ,1
273,45,ADA                                                                                                 ,7
274,45,Large Font Statements                                                                               ,1
275,46,Fees                                                                                                ,8
276,46,Customer Contact | General Inquiry | Fee Assessment                                                                                                                                                                                                            ,323
277,46,Fees and Commissions                                                                                                                                                                                                                                           ,2
278,46,Fees/Commissions                                  ,751
279,46,Payment Processing | Payoff | Fee Assessment                                                                                                                                                                                                                   ,34
280,46,Disclosure Fees                                   ,52
281,46,Payment Processing | Phone Pay | Fee Assessment                                                                                                                                                                                                                ,63
282,46,Fees - MMS                                                                      ,1
283,46,Payment Processing | Reversal | Fee Assessment (148)                                                                                                                                                                                                           ,81
284,46,Reverse Mortgage | Payments / Disbursements | Fees                                                                                                                                                                                                             ,3
285,47,Fees – Account,43
286,47,Fees -  Account                                                                 ,596
287,47,Fees                                                                                                                                                                                                                                                           ,9
288,47,Overlimit Fee                                                                   ,1
289,47,Fees - Account                                                                                      ,317
290,48,Fees - Balance Transfer                                                                             ,22
291,48,Balance Transfer Fee                                                            ,2
292,48,Fees – Balance Transfer,1
293,49,Fees – Cash Advance,3
294,49,Fees - Cash Advance                                                             ,71
295,49,Cash Advance Fee                                                                ,1
296,50,Fees – Check Cashing,2
297,50,Fees - Check Cashing                                                                                ,28
298,51,Fees – Indemnity,1
299,52,Fees - Late Fee                                                                 ,101
