Column1,SCNDRY_CMPLNT_RSN_LOB_CORP_ID,SCNDRY_CMPLNT_RSN_LOB_DESC,Count(*)
96,30,Originations | Lender | Decisioning Issue (Underwriter / Mortgage Specialist)                                                                                                                                                                                  ,21
97,31,Credit Limit Decrease                                                           ,5
98,32,Deceased Customer                                                               ,93
99,32,Reverse Mortgage | Foreclosure | Deceased Borrower                                                                                                                                                                                                             ,2
100,33,Default | Property Preservation | Fee Assessment                                                                                                                                                                                                               ,6
101,33,Default | Reporting | Timeliness of Resolution                                                                                                                                                                                                                 ,2
102,33,Default | Foreclosure | Fee Assessment                                                                                                                                                                                                                         ,45
103,33,Default | Reporting | Financial Liability                                                                                                                                                                                                                      ,4
104,33,Default | Reporting | Loss Mitigation Credit Disputes                                                                                                                                                                                                          ,27
105,33,Default | Property Preservation | Property Preservation                                                                                                                                                                                                        ,37
106,33,Default | Reporting | Courtesy Correction                                                                                                                                                                                                                      ,43
107,33,Default | Reporting | Foreclosure Referral Notation                                                                                                                                                                                                            ,7
108,33,Default | Foreclosure | Reinstatement/Redemption                                                                                                                                                                                                               ,123
109,33,Reverse Mortgage | Collections / Home Preservation / SPOC | Property Preservation                                                                                                                                                                              ,1
110,33,Default | Property Preservation | Property Maintenance                                                                                                                                                                                                         ,16
111,33,Default | REO | Eviction Issue                                                                                                                                                                                                                                 ,13
112,33,Default | Reporting | Mixed / Merged File                                                                                                                                                                                                                      ,2
113,33,Default | Reporting | Miscellaneous                                                                                                                                                                                                                            ,27
114,33,Default | REO | Property Preservation                                                                                                                                                                                                                          ,4
115,33,Default | Foreclosure | Bullet Point Letters                                                                                                                                                                                                                   ,22
116,33,Default | REO | Listing Issue                                                                                                                                                                                                                                  ,2
117,33,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Miscellaneous                                                                                                                                                                        ,2
118,33,Default | REO | Billing Issues                                                                                                                                                                                                                                 ,5
119,33,Default | Reporting | Tradeline Issue                                                                                                                                                                                                                          ,30
120,33,Default | Reporting | Administrative                                                                                                                                                                                                                           ,12
121,33,Default | Foreclosure | Deficiency Judgment                                                                                                                                                                                                                    ,20
122,33,Repossession                                                                    ,2
123,33,Default | Foreclosure | Clear Title/Assignment Chain                                                                                                                                                                                                           ,21
124,33,Default | Foreclosure | Notification                                                                                                                                                                                                                           ,461
125,33,Default | Reporting | Repayment Plan                                                                                                                                                                                                                           ,3
126,33,Default | REO | Miscellaneous                                                                                                                                                                                                                                  ,10
127,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Miscellaneous                                                                                                                                                                            ,1
128,33,Default | Reporting | Bankruptcy                                                                                                                                                                                                                               ,40
129,33,Reverse Mortgage | Collections / Home Preservation / SPOC | Other                                                                                                                                                                                              ,2
130,33,Default | Property Preservation | Property Inspection                                                                                                                                                                                                          ,35
131,33,Default | Foreclosure | Other                                                                                                                                                                                                                                  ,396
132,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Condo / HOA Delinquencies                                                                                                                                                                ,1
133,33,Default | Reporting | SCRA (Service Members Civil Relief Act) or Soldiers and Sailors                                                                                                                                                                          ,1
134,33,Default Operations Support (DOS) | Default Operations Support (DOS) | Litigation Fees                                                                                                                                                                          ,1
135,33,Default | Property Preservation | Miscellaneous                                                                                                                                                                                                                ,3
136,33,Reverse Mortgage | Foreclosure | Notification                                                                                                                                                                                                                  ,2
137,33,Default | Reporting | Soft Inquiry                                                                                                                                                                                                                             ,2
138,33,Default | Foreclosure | Abandonment                                                                                                                                                                                                                            ,36
139,33,Default | Reporting | Dispute Reporting                                                                                                                                                                                                                        ,308
140,33,Default | Collections | Account Freeze                                                                                                                                                                                                                         ,5
141,33,Default/Foreclosure,1
142,35,Deposit - Missing                                                                                   ,10
143,36,Reg B - Discrimination                                                                              ,2
144,36,Discrimination Allegation                                                       ,91
145,37,Dispute (Merchant)                                                              ,3
146,37,Dispute (Card Fraud)                                                            ,6
147,37,Disputes                                                                        ,159
148,37,Dispute (ATM Deposit)                                                           ,3
149,37,Customer Contact | General Inquiry | Posse / Validation of Debt Letter                                                                                                                                                                                         ,141
150,38,Distribution                                                                    ,14
151,38,Money-Out Transaction           ,5
152,39,Dividend/Interest,1
153,40,Documentation Not Received,5
154,40,Default | Deed in Lieu | Title Clearing / Subordination                                                                                                                                                                                                        ,2
155,42,Exchange Rate,2
156,43,Failure to Follow Instructions,11
157,43,Incorrect Information Given                                                     ,22
158,45,Disability - Special Accommodations                                             ,2
159,45,Talking ATM Earphone                                                                                ,1
160,45,ADA                                                                             ,10
161,45,Lacked Mental Capacity                                                          ,1
162,46,Customer Contact | General Inquiry | Fee Assessment                                                                                                                                                                                                            ,85
163,46,Payment Processing | Payoff | Fee Assessment                                                                                                                                                                                                                   ,9
164,46,Payment Processing | Phone Pay | Fee Assessment                                                                                                                                                                                                                ,9
165,46,Payment Processing | Reversal | Fee Assessment (148)                                                                                                                                                                                                           ,29
166,47,Fees – Account,6
167,47,Fees -  Account                                                                 ,166
168,47,Fees                                                                                                                                                                                                                                                           ,1
169,47,Fees - Account                                                                                      ,20
170,48,Fees - Balance Transfer                                                                             ,1
171,48,Balance Transfer Fee                                                            ,2
172,49,Fees - Cash Advance                                                             ,13
173,49,Cash Advance Fee                                                                ,4
174,50,Fees - Check Cashing                                                            ,3
175,52,Fees - Late Fee                                                                 ,26
176,52,Fees – Late Fee,2
177,52,Fees - Late Fees                                                                                    ,10
178,52,Late Fee                                                                        ,70
179,53,Fees – NSF/OD,17
180,53,Fees - NSF/OD                                                                                       ,240
181,53,NSF Fee                                                                         ,3
182,53,Overdraft Protection Fee                                                        ,3
183,54,Fees – Photocopies,2
184,54,Fees - Photocopies                                                                                  ,2
185,57,Default | Loan Modification | Insufficient financials provided                                                                                                                                                                                                 ,10
186,57,Default | Loan Modification | Workout Review process                                                                                                                                                                                                           ,202
187,57,Default | Loan Modification | Multiple submissions of financials                                                                                                                                                                                               ,8
188,57,Hardship                                                                        ,41
189,57,Default | Loan Modification | Denial Explanation                                                                                                                                                                                                               ,176
190,57,Default | Loan Modification | First request for assistance                                                                                                                                                                                                     ,61
191,57,Default | Loan Modification | Final Mod figures                                                                                                                                                                                                                ,32
192,57,Deferment/Forbearance                                                           ,7
193,57,Default | Loan Modification | Other                                                                                                                                                                                                                            ,58
194,57,Default | Loan Modification | Workout Decision process                                                                                                                                                                                                         ,54
195,57,Default | Loan Modification | Trial/Plan process                                                                                                                                                                                                               ,41
196,57,Default | Loan Modification | Final Mod process                                                                                                                                                                                                                ,30
197,57,Default | Loan Modification | Title Clearing / Subordination                                                                                                                                                                                                   ,5
198,57,Default | Loan Modification | Financials process                                                                                                                                                                                                               ,73
199,58,Fraud | Fraud | Equity Skimming                                                                                                                                                                                                                                ,1
200,58,Unauthorized charges                                                            ,14
201,58,Fraud | Fraud | Miscellaneous                                                                                                                                                                                                                                  ,23
202,58,Fraud | Fraud | Civil Matter -  Lawsuit                                                                                                                                                                                                                        ,1
203,58,Identity theft                                                                  ,21
204,58,Fraud | Fraud | Income Misrepresentation                                                                                                                                                                                                                       ,3
205,58,Fraud (e.g. identity theft),19
206,58,Fraud (e.g. identity theft phishing)                                                                                                                                                                                                                          ,1
207,58,Other                                                                           ,3
208,58,Fraud | Fraud | Fraud Preliminary Investigation (Fraud Team Members Only)                                                                                                                                                                                      ,13
209,58,Check Fraud Claim                                                               ,10
210,58,Fraud | Fraud | Money Laundering                                                                                                                                                                                                                               ,1
211,58,Fraud | Fraud | SSN / Identity Theft Unsubstantiated (Fraud Team Members Only)                                                                                                                                                                                 ,2
212,58,Online Fraud Claim                                                              ,1
213,58,ACH Fraud Claim                                                                 ,13
214,58,Fraud                                                                           ,71
215,58,Fraud | Fraud | 10 Day Letter                                                                                                                                                                                                                                  ,1
216,58,Fraud | Fraud | SSN / Identity Theft Substantiated (Fraud Team Members Only)                                                                                                                                                                                   ,1
217,58,Fraud | Fraud | Credit Bureau Mixed Files (Fraud Team Members Only)                                                                                                                                                                                            ,1
218,59,Gaming,2
219,59,Sales Integrity                                                                 ,41
220,59,Gaming (Unsolicited ATM/Debit Card)                                             ,7
221,60,Collateral,2
222,60,Title Not Received                                                              ,2
223,60,Lien Release | Release Processing (Tran 181) | Release Recorded - Certified Copy                                                                                                                                                                               ,2
224,61,Insurance | Flood | Refund                                                                                                                                                                                                                                     ,3
225,61,Insurance | Hazard | Lender Placed (LP)                                                                                                                                                                                                                        ,57
226,61,Insurance | Hazard | Mortgagee Clause                                                                                                                                                                                                                          ,1
227,61,Mortgage Insurance | MIP/RBI | Miscellaneous                                                                                                                                                                                                                   ,2
228,61,Insurance | Flood | Administrative                                                                                                                                                                                                                             ,6
229,61,Mortgage Insurance | MIP/RBI | Refund                                                                                                                                                                                                                          ,2
230,61,Mortgage Insurance | MIP/RBI | Deleting                                                                                                                                                                                                                        ,2
231,61,Extended Warranty                                                               ,1
232,61,Originations | Disclosure / Compliance Regulation | PMI Disclosure                                                                                                                                                                                             ,2
233,61,Insurance | Hazard | Refund                                                                                                                                                                                                                                    ,10
234,61,Mortgage Insurance | PMI | Refund                                                                                                                                                                                                                              ,1
235,61,Mortgage Insurance | PMI | Appraisal Issues                                                                                                                                                                                                                    ,4
236,61,Insurance | Hazard | Miscellaneous                                                                                                                                                                                                                             ,14
237,61,Mortgage Insurance | MIP/RBI | Administrative                                                                                                                                                                                                                  ,1
238,61,Insurance | Hazard | Insufficient Coverage                                                                                                                                                                                                                     ,6
239,61,Insurance | Loss Draft | Endorsement                                                                                                                                                                                                                           ,13
240,61,Insurance | Flood | Requirement                                                                                                                                                                                                                                ,5
241,61,Insurance | Loss Draft | Inspection                                                                                                                                                                                                                            ,6
242,61,Insurance | Flood | Gap Notification                                                                                                                                                                                                                           ,1
243,61,Mortgage Insurance | PMI | Premium                                                                                                                                                                                                                             ,1
244,61,Insurance,3
245,61,Insurance | Hazard | Deductible                                                                                                                                                                                                                                ,1
246,61,Mortgage Insurance | PMI | Lender Paid Mortgage Insurance (LPMI)                                                                                                                                                                                               ,2
247,61,Insurance | Flood | Lender Placed (LP)                                                                                                                                                                                                                         ,9
248,61,Insurance | Flood | Deletion                                                                                                                                                                                                                                   ,3
249,61,Insurance | Hazard | Deletion                                                                                                                                                                                                                                  ,5
250,61,Other                                                                           ,2
251,61,Insurance | Flood | Miscellaneous                                                                                                                                                                                                                              ,2
252,61,Mortgage Insurance | PMI | Deleting                                                                                                                                                                                                                            ,15
253,61,Insurance | Loss Draft | Miscellaneous                                                                                                                                                                                                                         ,6
254,61,Insurance | Hazard | Administrative                                                                                                                                                                                                                            ,30
255,61,Credit Defense                                                                  ,2
256,61,Insurance | Wind | Administrative                                                                                                                                                                                                                              ,1
257,61,Insurance | Loss Draft | Fund Disbursement/Application                                                                                                                                                                                                         ,26
258,61,Insurance | Hazard | Adding                                                                                                                                                                                                                                    ,5
259,61,Insurance | Loss Draft | Interest on Restricted Escrow                                                                                                                                                                                                         ,3
260,61,Mortgage Insurance | PMI | Administrative                                                                                                                                                                                                                      ,6
261,61,Insurance | Hazard | Requirement                                                                                                                                                                                                                               ,16
262,61,Insurance | Loss Draft | Administrative                                                                                                                                                                                                                        ,10
263,61,Gap                                                                             ,1
264,61,Insurance | Flood | Flood Determination                                                                                                                                                                                                                        ,6
265,61,Insurance | Wind | Lender Placed (LP)                                                                                                                                                                                                                          ,1
266,62,Interest Rate                                                                   ,32
267,62,APR                                                                             ,17
268,63,Lien Release | Release Processing (Tran 181) | Fee Assessment                                                                                                                                                                                                  ,1
269,63,Lien Release | Release Processing (Tran 181) | Further Action Not Needed                                                                                                                                                                                       ,5
270,63,Customer Contact | General Inquiry | Life-Altering Situation                                                                                                                                                                                                   ,56
271,63,Default Operations Support (DOS) | Default Operations Support (DOS) | Subpoena / Summons                                                                                                                                                                       ,2
272,63,Lien Release | Transfer Work | Assignment                                                                                                                                                                                                                      ,2
273,63,Lien Release | Release Processing (Tran 181) | Non-Provision of Documentation                                                                                                                                                                                  ,1
274,63,Lien Release | Transfer Work | Release Request                                                                                                                                                                                                                 ,2
275,63,Lien Release | Release Processing | Not Serviced by WF                                                                                                                                                                                                         ,9
276,63,Customer Contact | General Inquiry | Cease & Desist                                                                                                                                                                                                            ,164
277,63,Legal Action                                                                                        ,92
278,63,Lien Release | Release Processing (Tran 181) | Release Recently Sent                                                                                                                                                                                           ,6
279,63,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Subpoena / Summons                                                                                                                                                                   ,1
280,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Erroneous Legal Vesting Recording on Original Security Instrument                                                                                                  ,6
281,63,Customer Contact | General Inquiry | Title Issues                                                                                                                                                                                                              ,11
282,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Partial Release                                                                                                                                                      ,2
283,63,Lien Release | Release Processing (Tran 181) | Reprint Request - Never Recorded                                                                                                                                                                                ,4
284,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Miscellaneous                                                                                                                                                        ,2
285,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | P&I Modifications                                                                                                                                                    ,1
286,63,Legal Remedies                                                                  ,4
287,63,Lien Release | Release Processing (Tran 181) | Release Recorded                                                                                                                                                                                                ,3
288,63,Lien Release | Release Processing (Tran 181) | Recent Payoff / Request for a PIF Letter                                                                                                                                                                        ,4
289,63,Lien Release | Transfer Work | Release Correction                                                                                                                                                                                                              ,2
290,64,Optional Services | Optional Product | Claims                                                                                                                                                                                                                  ,1
291,64,Optional Services | Optional Product | Product Not Offered                                                                                                                                                                                                     ,1
292,64,Optional Services | Optional Product | Information Request                                                                                                                                                                                                     ,2
293,64,Managed Accounts,1
294,64,Optional Services | Optional Product | Deletion/Cancellation                                                                                                                                                                                                   ,2
295,64,Optional Services | Optional Product | Transfer                                                                                                                                                                                                                ,1
296,66,Media Relations                                                                                     ,16
297,67,Merger,2
298,68,Misplaced Documentation,2
299,68,Document Management | Document Management | Miscellaneous                                                                                                                                                                                                      ,17
300,68,Document Management | Document Management | Administrative                                                                                                                                                                                                     ,12
301,70,Mktg Promotions -  Advertising                                                  ,15
302,71,Money Transfer                                                                  ,86
303,72,International Operations                                                        ,4
304,72,Customer Service Experience                                                     ,1047
305,72,Administration                                                                                                                                                                                                                                                 ,2
306,72,Communication Expectations Not Met                                              ,181
307,74,Customer Contact | Online Banking | Online Payment                                                                                                                                                                                                             ,19
308,74,Online Issues                                                                                       ,10
309,74,System Error                                                                    ,1
310,74,Customer Contact | Online Banking | System Functionality / Information                                                                                                                                                                                         ,14
311,74,On-line Issues                                                                  ,37
312,75,Tax | General | Deletion                                                                                                                                                                                                                                       ,3
313,75,PB - Missing Lockbox WA 13636421                                                                    ,1
314,75,Customer Contact | General Inquiry | Telephone System                                                                                                                                                                                                          ,1
315,75,Need Explanation                                                                ,19
316,75,Insurance | Hazard | TBD                                                                                                                                                                                                                                       ,1
317,75,Tax | General | Exemption                                                                                                                                                                                                                                      ,5
318,75,Tax | General | Audit of Tax Payments / Disbursements                                                                                                                                                                                                          ,6
319,75,Customer Contact | General Inquiry | Miscellaneous                                                                                                                                                                                                             ,146
320,75,Escrow | Escrow Analysis | Shortage                                                                                                                                                                                                                            ,52
321,75,Escrow | Escrow Refund Check | Miscellaneous                                                                                                                                                                                                                   ,14
322,75,Insurance | Flood | TBD                                                                                                                                                                                                                                        ,3
323,75,Insurance | Wind | TBD                                                                                                                                                                                                                                         ,1
324,75,Reverse Mortgage | Customer Service | Administrative                                                                                                                                                                                                           ,1
325,75,Fraud | Fraud | TBD                                                                                                                                                                                                                                            ,3
326,75,Escrow | Escrow Account | Administrative                                                                                                                                                                                                                       ,70
327,75,Customer Contact | General Inquiry | TBD                                                                                                                                                                                                                       ,81
328,75,Tax | General | Incorrect Parcel Paid                                                                                                                                                                                                                          ,3
329,75,Originations | Lender | TBD                                                                                                                                                                                                                                    ,3
330,75,Escrow | Escrow Account | Deleting                                                                                                                                                                                                                             ,55
331,75,Document Management | Document Management | TBD                                                                                                                                                                                                                ,3
332,75,Year End | Year End | TBD                                                                                                                                                                                                                                      ,1
333,75,Tax | Pay Taxes | Special Assessments                                                                                                                                                                                                                          ,3
334,75,Reverse Mortgage | Customer Service | General Information                                                                                                                                                                                                      ,1
335,75,Tax | General | Miscellaneous                                                                                                                                                                                                                                  ,9
336,75,Other,11
337,75,Escrow | Escrow Analysis | Administrative                                                                                                                                                                                                                      ,52
338,75,Customer Contact | General Inquiry | Administrative                                                                                                                                                                                                            ,80
339,75,Servicing Integration (Post Closing) | Government Insuring / Special Loan Services | Refund                                                                                                                                                                    ,1
340,75,Default | Bankruptcy | TBD                                                                                                                                                                                                                                     ,11
341,75,Tax | General | Lender Placed (LP)                                                                                                                                                                                                                             ,1
342,75,Special Loans | Special Loans | TBD                                                                                                                                                                                                                            ,2
343,75,Originations | Escrow Account | Initial Escrow Deposit                                                                                                                                                                                                         ,1
344,75,Tax | Pay Taxes | Delinquent Taxes                                                                                                                                                                                                                             ,14
345,75,Escrow | Escrow Account | TBD                                                                                                                                                                                                                                  ,12
346,75,Tax | General | Payment Validation                                                                                                                                                                                                                             ,9
347,75,Originations | Escrow Account | Requirement                                                                                                                                                                                                                    ,4
348,75,Escrow | Escrow Account | Prepayment                                                                                                                                                                                                                           ,3
349,75,Customers Threatens to File Law Suit                                            ,27
350,75,Tax | General | Administrative / System Maintenance                                                                                                                                                                                                            ,13
351,75,Print Vendor | Year End Statement | Miscellaneous                                                                                                                                                                                                              ,2
352,75,Assumptions | Assumptions | Administrative                                                                                                                                                                                                                     ,5
353,75,Escrow | Escrow Account | Adding                                                                                                                                                                                                                               ,12
354,75,Customer Contact | General Inquiry | Document Request                                                                                                                                                                                                          ,93
355,75,Tax | General | Deferral                                                                                                                                                                                                                                       ,1
356,75,Tax | Pay Taxes | Disbursement of Taxes                                                                                                                                                                                                                        ,15
357,75,Tax | Pay Taxes | Miscellaneous                                                                                                                                                                                                                                ,7
358,75,POA - Request                                                                   ,2
359,75,Servicing Integration (Post Closing) | Final Document Services | Recordation Issues                                                                                                                                                                            ,1
360,75,Default | Loan Modification | TBD                                                                                                                                                                                                                              ,38
361,75,Assumptions | Assumptions | Qualifying and Non-Qualifying Assumptions                                                                                                                                                                                          ,6
362,75,Default | Short Sale | Other                                                                                                                                                                                                                                   ,18
363,75,Default | Foreclosure | TBD                                                                                                                                                                                                                                    ,56
364,75,Servicing Acquisitions | Servicing Acquisitions | TBD                                                                                                                                                                                                          ,2
365,75,Assumptions | Assumptions | Information Requests                                                                                                                                                                                                               ,30
366,75,Originations | Property Valuation | Other                                                                                                                                                                                                                      ,1
367,75,Originations | Lender | Funding Issue (Mortgage Specialist)                                                                                                                                                                                                    ,4
368,75,Escrow | Escrow Analysis | Miscellaneous                                                                                                                                                                                                                       ,9
369,75,Originations | Post Closing | TBD                                                                                                                                                                                                                              ,1
370,75,POA - Approved                                                                  ,2
371,75,Marketing | Solicitation | TBD                                                                                                                                                                                                                                 ,1
372,75,Customer Contact | General Inquiry | Security Breach                                                                                                                                                                                                           ,1
373,75,Misrouted                                                                       ,1
374,75,Spanish Letter                                                                  ,9
375,75,Settlement Request                                                              ,15
376,75,Escrow | Escrow Account | Miscellaneous                                                                                                                                                                                                                        ,44
377,75,Originations | Disclosure / Compliance Regulation | Property Inspection                                                                                                                                                                                        ,1
378,75,Tax | General | Incorrect Payee Paid                                                                                                                                                                                                                           ,1
379,75,Escrow | Escrow Analysis | TBD                                                                                                                                                                                                                                 ,3
380,75,Originations | Disclosure / Compliance Regulation | Miscellaneous                                                                                                                                                                                              ,11
381,75,Customer Contact | General Inquiry | Rental Request                                                                                                                                                                                                            ,2
382,75,Escrow | Escrow Account | Buydown Funds                                                                                                                                                                                                                        ,8
383,75,Suggestions for Improvement                                                     ,10
384,75,Customer Contact | General Inquiry | Payment Assistance Form                                                                                                                                                                                                   ,9
385,75,Escrow | Escrow Refund Check | Reissue Check                                                                                                                                                                                                                   ,5
386,75,Originations | Disclosure / Compliance Regulation | TBD                                                                                                                                                                                                        ,1
387,75,Originations | Credit Reporting | Other                                                                                                                                                                                                                        ,2
388,75,Assumptions | Assumptions | Miscellaneous                                                                                                                                                                                                                      ,1
389,75,Customer Contact | General Inquiry | Second Lien-Holder (Junior Lien)                                                                                                                                                                                          ,5
390,75,Default | Short Sale | TBD                                                                                                                                                                                                                                     ,6
391,75,Originations | Lender | Processing / Closing Issue (Mortgage Specialist)                                                                                                                                                                                       ,14
392,75,Originations | Retention Programs | TBD                                                                                                                                                                                                                        ,3
393,75,Escrow | Escrow Refund Check | Endorsement                                                                                                                                                                                                                     ,2
394,75,Customer Contact | General Inquiry | Information Request                                                                                                                                                                                                       ,405
395,75,Originations | Servicing | TBD                                                                                                                                                                                                                                 ,1
396,75,Default | REO | TBD                                                                                                                                                                                                                                            ,3
397,75,Payment Processing | Payment | TBD                                                                                                                                                                                                                             ,23
398,75,Customer Contact | General Inquiry | Verification of Mortgage                                                                                                                                                                                                  ,13
399,75,Optional Services | Optional Product | WFE Product / Service                                                                                                                                                                                                   ,2
400,75,Tax | General | Parent Parcel                                                                                                                                                                                                                                  ,1
401,75,Escrow | Escrow Analysis | Overage                                                                                                                                                                                                                             ,12
402,75,Payment Processing | Reversal | TBD                                                                                                                                                                                                                            ,2
403,75,Timing of Request                                                               ,1
404,75,Customer Contact | General Inquiry | Missing Correspondence                                                                                                                                                                                                    ,9
405,75,Originations | Lender | Miscellaneous                                                                                                                                                                                                                          ,10
406,75,Payment Processing | Payoff | TBD                                                                                                                                                                                                                              ,3
407,75,Customer Contact | VRU | System Functionality / Information                                                                                                                                                                                                    ,2
408,75,Tax | General | Refund                                                                                                                                                                                                                                         ,10
409,75,Escrow | Escrow Refund Check | Non-Receipt                                                                                                                                                                                                                     ,3
410,75,Default | Reporting | TBD                                                                                                                                                                                                                                      ,26
411,75,Default | Collections | TBD                                                                                                                                                                                                                                    ,6
412,75,Originations | Escrow Account | Miscellaneous                                                                                                                                                                                                                  ,4
413,75,Default | Deed in Lieu | Other                                                                                                                                                                                                                                 ,3
414,75,Default | Deed in Lieu | TBD                                                                                                                                                                                                                                   ,5
415,75,Default | Property Preservation | TBD                                                                                                                                                                                                                          ,7
416,75,Tax | General | Non-Escrowed Account                                                                                                                                                                                                                           ,1
417,75,Originations | Property Valuation | TBD                                                                                                                                                                                                                        ,1
418,75,Originations | Processing/Decisioning | Other                                                                                                                                                                                                                  ,1
419,75,Tax | General | TBD                                                                                                                                                                                                                                            ,5
420,75,Originations | Closing | Other                                                                                                                                                                                                                                 ,1
421,75,Originations | Lender | Application Issue (Loan Officer)                                                                                                                                                                                                       ,17
422,75,Escrow | Escrow Account | Interest on Escrow                                                                                                                                                                                                                   ,2
423,75,Payment Processing | Flexible Drafting Plans | TBD                                                                                                                                                                                                             ,3
